Papel;Cotação;Tipo;Data últ cot;Empresa;Min 52 sem;Setor;Max 52 sem;Subsetor;Vol $ méd (2m);Valor de mercado;Últ balanço processado;Valor da firma;Nro. Ações;P/L;LPA;P/VP;VPA;P/EBIT;Marg. Bruta;PSR;Marg. EBIT;P/Ativos;Marg. Líquida;P/Cap. Giro;EBIT / Ativo;P/Ativ Circ Liq;ROIC;Div. Yield;ROE;EV / EBITDA;Liquidez Corr;EV / EBIT;Div Br/ Patrim;Cres. Rec (5a);Giro Ativos;Ativo;Dív. Bruta;Disponibilidades;Dív. Líquida;Ativo Circulante;Patrim. Líq;Receita Líquida;EBIT;Lucro Líquido
FRIO3;100,00;ON NM;19/02/2020;Metalfrio ON NM;47,62;Equipamentos Elétricos;109,08;Equipamentos Elétricos;237.850;410.700.000;30/09/2019;999.839.000;4.107.000;45,97;2,18;8,27;12,09;7,23;16,6%;0,29;4,0%;0,27;2,8%;6,66;3,7%;-1,17;6,8%;0,0%;18,0%;10,30;1,06;17,60;19,66;8,6%;0,93;1.534.700.000;976.101.000;386.962.000;589.139.000;1.059.420.000;49.651.000;309.745.000;-392.000;-13.597.000
FRTA3;6,71;ON NM;17/02/2020;POMIFRUTAS ON NM;4,56;Agropecuária;13,70;Agricultura;106.367;13.427.400;30/09/2019;66.462.400;2.001.110;4,02;1,67;-0,20;-34,11;-21,15;46,8%;1,78;-8,4%;0,39;44,2%;-0,17;-1,9%;-0,14;-2,2%;0,0%;-4,9%;699,60;0,04;-104,67;-0,80;-35,7%;0,22;34.307.000;54.555.000;1.520.000;53.035.000;3.615.000;-68.253.000;302.000;-1.461.000;1.080.000
GBIO33;9,90;DR3;21/02/2020;BIOTOSCANA DR3;7,08;Saúde;10,55;Medicamentos e Outros Produtos;2.481.150;1.055.560.000;30/09/2019;1.201.630.000;106.622.000;24,43;0,41;1,39;7,14;8,14;47,1%;1,39;17,1%;0,80;5,7%;3,70;9,8%;12,21;12,8%;0,0%;5,7%;9,26;1,79;9,26;0,29;-10,4%;0,57;1.322.230.000;223.694.000;77.623.800;146.071.000;647.848.000;760.840.000;190.090.000;37.382.700;12.086.600
GEPA3;46,53;ON;21/02/2020;DUKE ENERGY INT,GERAÇÃO PARANAPANEMA SA ON;32,28;Energia Elétrica;48,03;Energia Elétrica;5.660;4.393.970.000;30/09/2019;4.573.190.000;94.433.000;12,68;3,67;2,37;19,63;7,51;45,6%;3,13;41,7%;0,93;24,7%;-27,46;12,4%;-2,85;23,0%;7,0%;18,7%;5,70;0,89;7,82;0,73;3,6%;0,30;4.726.500.000;1.344.310.000;1.165.080.000;179.224.000;1.332.540.000;1.853.850.000;340.301.000;87.613.000;53.885.000
GEPA4;53,00;PN;21/02/2020;DUKE ENERGY INT,GERAÇÃO PARANAPANEMA SA PN;35,32;Energia Elétrica;56,00;Energia Elétrica;82.037;5.004.950.000;30/09/2019;5.184.170.000;94.433.000;14,44;3,67;2,70;19,63;8,56;45,6%;3,56;41,7%;1,06;24,7%;-31,27;12,4%;-3,25;23,0%;6,2%;18,7%;6,46;0,89;8,86;0,73;3,6%;0,30;4.726.500.000;1.344.310.000;1.165.080.000;179.224.000;1.332.540.000;1.853.850.000;340.301.000;87.613.000;53.885.000
GFSA3;8,31;ON;21/02/2020;GAFISA ON;4,75;Construção e Engenharia;10,15;Construção Civil;61.625.600;997.200.000;30/09/2019;1.353.810.000;120.000.000;-2,79;-2,98;1,28;6,50;633,55;10,9%;2,09;0,3%;0,39;-74,9%;1,80;0,1%;1.068,83;0,1%;0,0%;-45,9%;70,94;1,45;860,11;0,96;-32,8%;0,19;2.566.200.000;750.826.000;394.216.000;356.610.000;1.785.060.000;780.159.000;89.212.000;23.256.000;-1.668.000
GGBR3;16,70;ON N1;21/02/2020;GERDAU S.A. ON N1;10,34;Siderurgia e Metalurgia;19,46;Siderurgia;910.703;28.718.300.000;31/12/2019;38.473.600.000;1.719.660.000;23,86;0,70;1,07;15,68;10,36;10,6%;0,72;7,0%;0,53;3,1%;2,66;5,1%;-3,34;6,3%;1,7%;4,5%;7,94;2,46;13,88;0,60;0,1%;0,73;54.003.000.000;16.049.900.000;6.294.600.000;9.755.270.000;18.235.700.000;26.955.700.000;9.533.460.000;329.957.000;99.569.000
GGBR4;19,10;PN N1;21/02/2020;GERDAU S.A. PN N1;11,74;Siderurgia e Metalurgia;22,27;Siderurgia;249.957.000;32.845.500.000;31/12/2019;42.600.800.000;1.719.660.000;27,29;0,70;1,22;15,68;11,85;10,6%;0,83;7,0%;0,61;3,1%;3,04;5,1%;-3,82;6,3%;1,5%;4,5%;8,79;2,46;15,36;0,60;0,1%;0,73;54.003.000.000;16.049.900.000;6.294.600.000;9.755.270.000;18.235.700.000;26.955.700.000;9.533.460.000;329.957.000;99.569.000
GNDI3;69,17;ON NM;21/02/2020;INTERMEDICA ON NM;31,85;Saúde;76,33;Serviços Médico - Hospitalares, Análises e Diagnósticos;232.888.000;41.757.400.000;31/12/2019;39.135.800.000;603.693.000;98,58;0,70;6,55;10,55;44,39;27,4%;4,96;11,2%;3,18;5,0%;11,80;7,2%;-51,92;11,5%;0,2%;6,6%;32,99;2,45;41,60;0,34;25,9%;0,64;13.148.000.000;2.177.940.000;4.799.560.000;-2.621.630.000;5.973.380.000;6.370.400.000;2.301.550.000;289.018.000;231.095.000
GOAU3;8,50;ON N1;21/02/2020;METALÚRGICA GERDAU ON N1;5,61;Siderurgia e Metalurgia;9,73;Siderurgia;572.843;9.241.570.000;31/12/2019;18.996.800.000;1.087.240.000;21,74;0,39;0,92;9,21;3,34;10,6%;0,23;7,0%;0,17;3,0%;0,85;5,1%;-1,08;6,3%;1,6%;4,2%;3,92;2,46;6,87;1,60;0,1%;0,73;54.048.700.000;16.049.900.000;6.294.660.000;9.755.200.000;18.278.200.000;10.014.100.000;9.533.460.000;328.722.000;36.150.000
