Papel;Cotação;Tipo;Data últ cot;Empresa;Min 52 sem;Setor;Max 52 sem;Subsetor;Vol $ méd (2m);Valor de mercado;Últ balanço processado;Valor da firma;Nro. Ações;P/L;LPA;P/VP;VPA;P/EBIT;Marg. Bruta;PSR;Marg. EBIT;P/Ativos;Marg. Líquida;P/Cap. Giro;EBIT / Ativo;P/Ativ Circ Liq;ROIC;Div. Yield;ROE;EV / EBITDA;Liquidez Corr;EV / EBIT;Div Br/ Patrim;Cres. Rec (5a);Giro Ativos;Ativo;Dív. Bruta;Disponibilidades;Dív. Líquida;Ativo Circulante;Patrim. Líq;Receita Líquida;EBIT;Lucro Líquido
MMXM3;2,09;ON NM;21/02/2020;MMX MINER ON NM;1,37;Mineração;2,84;Minerais Metálicos;176.988;13.559.900;30/09/2019;202.784.000;6.488.000;-0,09;-24,23;-0,02;-110,87;-0,17;-105,9%;6,45;-3.720,5%;0,10;-7.552,4%;-0,02;-59,0%;-0,02;-91,8%;0,0%;21,9%;-2,59;0,04;-2,59;-0,27;106,3%;0,02;132.462.000;190.796.000;1.572.000;189.224.000;32.751.000;-719.319.000;0;-2.413.000;-27.528.000
MNDL3;33,10;ON;20/02/2020;MUNDIAL S/A ON;28,30;Tecidos, Vestuário e Calçados;37,00;Acessórios;28.221;82.088.000;30/09/2019;264.443.000;2.480.000;-16,41;-2,02;-0,58;-57,37;2,71;33,0%;0,17;6,3%;0,08;-1,0%;-0,12;3,0%;-0,09;3,1%;0,0%;3,5%;6,05;0,27;8,74;-1,30;3,9%;0,47;1.024.330.000;184.682.000;2.327.000;182.355.000;249.024.000;-142.268.000;125.903.000;8.319.000;-3.216.000
MNPR3;5,94;ON;21/02/2020;MINUPAR ON;1,90;Alimentos;7,10;Carnes e Derivados;29.785;42.174.000;30/09/2019;41.650.000;7.100.000;-0,76;-7,84;-0,12;-49,88;0,99;28,0%;0,19;19,5%;0,21;-25,6%;-0,11;21,1%;-0,09;22,2%;0,0%;15,7%;0,81;0,13;0,98;-0,00;1,2%;1,08;201.116.000;500.000;1.024.000;-524.000;59.434.000;-354.128.000;59.423.000;10.882.000;-2.261.000
MOAR3;180,05;ON;11/02/2020;MONTEIRO ARANHA ON;157,95;Holdings Diversificadas;219,42;Holdings Diversificadas;12.909;2.205.790.000;30/09/2019;2.019.260.000;12.251.000;21,73;8,29;2,08;86,59;-48,57;91,2%;959,04;-1.974,5%;1,51;4.514,0%;10,08;-3,1%;-65,30;-4,1%;6,6%;9,6%;-45,21;2,53;-44,46;0,15;-28,5%;0,00;1.456.440.000;154.370.000;340.899.000;-186.529.000;361.819.000;1.060.840.000;410.000;-9.828.000;42.739.000
MOVI3;21,71;ON NM;21/02/2020;MOVIDA ON NM;10,33;Diversos;22,49;Aluguel de Carros;29.319.100;6.489.570.000;30/09/2019;8.201.450.000;298.921.000;33,21;0,65;2,89;7,52;14,37;25,5%;1,89;13,1%;0,86;5,7%;73,23;6,0%;-2,47;10,6%;1,7%;8,7%;12,42;1,03;18,16;1,49;23,0%;0,46;7.511.570.000;3.341.050.000;1.629.170.000;1.711.880.000;2.635.890.000;2.247.810.000;960.786.000;135.045.000;60.208.000
MRFG3;13,99;ON NM;21/02/2020;Marfrig ON NM;5,38;Alimentos;13,99;Carnes e Derivados;190.978.000;9.952.070.000;31/12/2019;23.782.100.000;711.370.000;45,63;0,31;16,09;0,87;2,79;13,1%;0,20;7,3%;0,32;3,2%;2,62;11,3%;-0,65;17,6%;0,0%;35,3%;4,99;1,36;6,66;35,95;26,2%;1,54;31.572.000.000;22.240.100.000;8.410.110.000;13.830.000.000;14.420.100.000;618.565.000;14.217.900.000;1.310.100.000;26.906.000
MRVE3;20,51;ON NM;21/02/2020;MRV ON NM;12,55;Construção e Engenharia;22,35;Construção Civil;116.516.000;9.884.880.000;30/09/2019;12.346.500.000;481.954.000;13,55;1,51;2,04;10,07;10,23;31,2%;1,61;15,7%;0,67;12,8%;2,02;6,6%;-6,57;7,0%;5,0%;15,0%;11,82;2,55;12,77;0,61;7,6%;0,42;14.656.600.000;2.960.090.000;498.464.000;2.461.630.000;8.034.500.000;4.854.640.000;1.568.990.000;222.839.000;160.115.000
MSPA3;50,00;ON;17/12/2019;MELHORAMENTOS ON;43,00;Madeira e Papel;51,50;Papel e Celulose;0;320.250.000;30/09/2019;315.691.000;6.405.000;-37,03;-1,35;0,36;140,44;-15,59;45,0%;2,46;-15,8%;0,22;-6,6%;3,62;-1,4%;-0,77;-1,5%;0,8%;-1,0%;-48,91;2,85;-15,37;0,05;-21,2%;0,09;1.450.380.000;41.170.000;45.729.000;-4.559.000;136.192.000;899.497.000;31.020.000;-6.545.000;-8.255.000
MTIG4;62,00;PN;21/01/2020;IGUAÇU PN;61,00;Embalagens;100,20;Embalagens;151;14.942.000;30/09/2019;66.248.800;241.000;-1,69;-36,68;0,93;66,36;-60,97;15,9%;0,12;-0,2%;0,14;-7,0%;-0,62;-0,2%;-0,38;-0,3%;0,7%;-55,3%;19,47;0,67;-270,30;3,26;1,8%;1,20;105.323.000;52.079.100;772.252;51.306.800;49.732.100;15.993.400;41.890.200;848.028;-3.828.660
MTRE3;17,86;ON NM;21/02/2020;MITRE REALTY ON NM;17,86;Construção e Engenharia;20,80;Construção Civil;16.008.500;1.889.140.000;30/09/2019;1.988.180.000;105.775.000;0,00;0,00;31,33;0,57;-;-;-;-;5,16;-;21,98;0,0%;-67,60;-;0,0%;-;-;1,45;-;2,10;-;-;366.392.000;126.445.000;27.407.000;99.038.000;278.098.000;60.305.000;60.715.000;11.222.000;5.563.000
MTSA4;23,00;PN;21/02/2020;METISA PN;15,30;Máquinas e Equipamentos;28,25;Máqs. e Equips. Construção e Agrícolas;230.029;210.157.000;30/09/2019;166.991.000;9.137.260;13,42;1,71;0,88;26,25;23,62;21,4%;0,74;3,1%;0,63;5,5%;1,31;2,7%;1,39;3,9%;3,5%;6,5%;8,61;2,99;18,77;0,22;6,7%;0,86;331.055.000;51.621.700;94.787.400;-43.165.800;241.994.000;239.897.000;82.800.400;6.870.550;4.686.630
MULT3;33,80;ON N2;21/02/2020;Multiplan ON N2;21,28;Exploração de Imóveis;35,52;Exploração de Imóveis;109.223.000;20.305.700.000;31/12/2019;22.501.200.000;600.761.000;43,11;0,78;3,63;9,30;25,99;79,2%;15,55;59,8%;2,12;35,9%;51,98;8,2%;-7,62;9,2%;1,4%;8,4%;22,46;1,42;28,80;0,56;5,2%;0,14;9.576.750.000;3.103.440.000;907.969.000;2.195.470.000;1.319.290.000;5.587.670.000;360.849.000;267.070.000;142.288.000
MWET4;4,60;PN;21/02/2020;WETZEL S.A. PN;3,65;Material de Transporte;7,50;Material Rodoviário;18.062;9.466.800;30/09/2019;85.327.800;2.058.000;-0,20;-23,12;-0,05;-96,43;-0,57;6,6%;0,05;-9,3%;0,05;-26,5%;-0,08;-9,3%;-0,03;-11,3%;0,0%;24,0%;-7,03;0,28;-5,11;-0,39;3,3%;1,01;178.774.000;77.369.000;1.508.000;75.861.000;44.488.000;-198.459.000;48.539.000;-3.942.000;-9.690.000
MYPK3;21,88;ON;21/02/2020;IOCHPE-MAXION ON;17,44;Material de Transporte;24,69;Material Rodoviário;35.497.900;3.363.390.000;30/09/2019;6.051.500.000;153.720.000;8,97;2,44;1,00;21,99;4,97;12,4%;0,33;6,7%;0,34;4,7%;3,17;6,8%;-1,39;8,3%;0,8%;11,1%;5,59;1,36;8,94;0,99;12,3%;1,01;10.022.500.000;3.359.480.000;671.381.000;2.688.100.000;3.976.210.000;3.379.610.000;2.542.310.000;185.795.000;124.838.000
NAFG3;71,71;ON;04/02/2020;NADIR FIGUEIREDO ON;56,58;Utilidades Domésticas;71,71;Utensílios Domésticos;175;973.750.000;30/09/2019;1.102.440.000;13.579.000;13,92;5,15;3,23;22,24;8,53;41,8%;1,26;14,7%;1,44;9,0%;8,34;16,9%;-5.865,12;19,7%;1,3%;23,2%;7,29;1,46;9,66;0,59;9,2%;1,15;674.798.000;177.742.000;49.050.000;128.692.000;370.508.000;301.933.000;189.432.000;24.754.000;14.782.000
NAFG4;70,50;PN;05/02/2020;NADIR FIGUEIREDO PN;41,35;Utilidades Domésticas;75,00;Utensílios Domésticos;1.206;957.319.000;30/09/2019;1.086.010.000;13.579.000;13,69;5,15;3,17;22,24;8,39;41,8%;1,24;14,7%;1,42;9,0%;8,20;16,9%;-5.766,15;19,7%;1,3%;23,2%;7,18;1,46;9,51;0,59;9,2%;1,15;674.798.000;177.742.000;49.050.000;128.692.000;370.508.000;301.933.000;189.432.000;24.754.000;14.782.000
NATU3;36,86;ON;17/12/2019;NATURA COSMETICOS SA ON;19,98;Prods. de Uso Pessoal e de Limpeza;38,00;Produtos de Uso Pessoal;0;31.914.100.000;30/09/2019;38.267.000.000;865.818.000;64,80;0,57;10,44;3,53;19,22;71,6%;2,25;11,7%;1,81;3,5%;14,72;9,4%;-3,82;11,7%;0,5%;16,1%;14,43;1,54;23,04;2,62;18,3%;0,80;17.625.700.000;8.013.630.000;1.660.650.000;6.352.990.000;6.209.930.000;3.057.940.000;3.473.800.000;321.788.000;63.764.000
NEOE3;25,63;ON NM;21/02/2020;NEOENERGIA ON NM;16,63;Energia Elétrica;27,53;Energia Elétrica;56.910.900;31.109.600.000;31/12/2019;49.707.700.000;1.213.800.000;13,96;1,84;1,64;15,63;6,61;22,4%;1,09;16,5%;0,57;8,1%;9,21;8,7%;-1,41;10,0%;1,8%;11,7%;8,05;1,35;10,56;1,19;20,5%;0,52;54.214.800.000;22.663.700.000;4.065.620.000;18.598.100.000;12.931.000.000;18.974.900.000;7.453.780.000;1.298.580.000;618.373.000
NORD3;4,58;ON;21/02/2020;NORDON INDS METALURGICAS SA ON;0,60;Máquinas e Equipamentos;10,00;Máqs. e Equips. Industriais;9.593;30.324.200;30/09/2019;67.522.200;6.621.000;-6,79;-0,67;-0,22;-21,18;-34,19;91,7%;24,67;-72,2%;1,84;-363,1%;-0,58;-5,4%;-0,19;-5,5%;0,0%;3,2%;-76,12;0,01;-76,12;-0,27;71,9%;0,07;16.460.000;37.280.000;82.000;37.198.000;763.000;-140.228.000;393.000;-138.000;-440.000
NTCO3;48,50;ON NM;21/02/2020;GRUPO NATURA ON NM;36,76;Prods. de Uso Pessoal e de Limpeza;50,89;Produtos de Uso Pessoal;395.617.000;57.593.300.000;30/09/2019;57.593.300.000;1.187.490.000;0,00;0,00;575.933.000,00;0,00;-;-;-;-;52.167.800,00;-;575.933.000,00;0,0%;575.933.000,00;-;0,0%;-;-;1,10;-;-;-;-;1.104;0;1.104;-1.104;1.104;100;0;0;0
NUTR3;51,01;ON;04/02/2020;NUTRIPLANT ON;40,52;Químicos;76,00;Fertilizantes e Defensivos;1.194;6.529.280;30/09/2019;19.438.300;128.000;-2,16;-23,66;-0,26;-197,17;10,23;16,5%;0,11;1,1%;0,09;-5,2%;0,60;0,8%;-0,10;1,0%;0,0%;12,0%;16,67;1,48;30,47;-0,53;15,1%;0,77;75.750.000;13.317.000;408.000;12.909.000;33.617.000;-25.238.000;19.610.000;814.000;-2.241.000
ODPV3;16,38;ON NM;21/02/2020;ODONTOPREV ON NM;14,73;Saúde;18,43;Serviços Médico - Hospitalares, Análises e Diagnósticos;23.326.900;8.702.610.000;30/09/2019;8.201.510.000;531.295.000;29,95;0,55;8,11;2,02;17,43;55,7%;4,87;27,9%;5,00;16,3%;33,39;28,7%;79,60;41,0%;2,2%;27,1%;15,70;1,51;16,43;-;9,3%;1,03;1.741.000.000;0;501.100.000;-501.100.000;771.282.000;1.073.730.000;452.622.000;100.574.000;53.376.000
OFSA3;41,38;ON NM;21/02/2020;OUROFINO S/A ON NM;29,53;Saúde;45,02;Medicamentos e Outros Produtos;813.889;2.232.410.000;31/12/2019;2.468.480.000;53.949.000;48,24;0,86;4,53;9,13;31,15;49,6%;3,60;11,6%;2,57;7,5%;10,41;8,2%;46,53;9,1%;0,5%;9,4%;25,64;2,02;34,45;0,57;5,7%;0,71;869.536.000;281.082.000;45.009.000;236.073.000;425.035.000;492.447.000;196.473.000;30.420.000;25.074.000
OIBR3;1,12;ON N1;21/02/2020;OI ON N1;0,73;Telefonia Fixa;1,90;Telefonia Fixa;143.005.000;6.668.710.000;30/09/2019;21.416.900.000;5.954.210.000;-0,66;-1,70;0,33;3,35;-4,52;25,8%;0,32;-7,2%;0,09;-49,3%;0,81;-2,0%;-0,20;-2,3%;0,0%;-50,7%;4,13;1,69;-14,52;0,90;-5,2%;0,28;72.866.500.000;17.905.300.000;3.157.120.000;14.748.200.000;20.154.500.000;19.917.200.000;5.001.230.000;-469.868.000;-5.746.890.000
OIBR4;1,46;ON N1;21/02/2020;OI ON N1;1,12;Telefonia Fixa;1,88;Telefonia Fixa;4.136.630;8.693.140.000;30/09/2019;23.441.300.000;5.954.210.000;-0,86;-1,70;0,44;3,35;-5,89;25,8%;0,42;-7,2%;0,12;-49,3%;1,06;-2,0%;-0,27;-2,3%;0,0%;-50,7%;4,52;1,69;-15,89;0,90;-5,2%;0,28;72.866.500.000;17.905.300.000;3.157.120.000;14.748.200.000;20.154.500.000;19.917.200.000;5.001.230.000;-469.868.000;-5.746.890.000
OMGE3;41,75;ON NM;21/02/2020;OMEGA GER ON NM;18,90;Energia Elétrica;41,81;Energia Elétrica;20.903.500;6.887.290.000;30/09/2019;9.866.720.000;164.965.000;204,49;0,20;2,49;16,78;22,26;38,8%;7,74;34,8%;0,93;4,7%;8,68;4,2%;-2,08;4,9%;0,0%;1,2%;21,00;2,55;31,89;1,47;70,6%;0,12;7.431.740.000;4.066.530.000;1.087.100.000;2.979.430.000;1.306.410.000;2.767.800.000;284.890.000;136.506.000;30.339.000
OSXB3;4,40;ON NM;21/02/2020;OSX BRASIL ON NM;2,30;Petróleo, Gás e Biocombustíveis;6,10;Máquinas e Equipamentos;107.177;13.851.200;30/09/2019;4.249.720.000;3.148.000;-0,04;-120,91;-0,00;-1.368,76;-0,29;100,0%;1,26;-438,0%;0,00;-3.565,8%;-0,03;-1,5%;-0,00;-1,6%;0,0%;8,8%;-271,70;0,03;-88,37;-0,98;-68,3%;0,00;3.162.800.000;4.237.480.000;1.610.000;4.235.870.000;14.446.000;-4.308.840.000;2.773.000;-11.739.000;-101.245.000
PARD3;32,30;ON NM;21/02/2020;IHPARDINI ON NM;16,31;Saúde;32,52;Serviços Médico - Hospitalares, Análises e Diagnósticos;12.879.200;4.230.620.000;30/09/2019;4.329.660.000;130.979.000;30,15;1,07;6,32;5,11;20,03;29,8%;3,20;16,0%;2,60;10,6%;16,86;13,0%;-10,20;15,5%;1,4%;21,0%;15,51;1,86;20,50;0,35;11,2%;0,81;1.628.080.000;236.043.000;137.000.000;99.043.000;543.057.000;668.985.000;345.841.000;67.271.000;43.342.000
PATI3;26,00;ON;20/02/2020;PANATLANTICA ON;18,54;Siderurgia e Metalurgia;26,00;Artefatos de Ferro e Aço;1.529;475.020.000;30/09/2019;518.735.000;18.270.000;19,99;1,30;1,12;23,29;9,86;12,2%;0,45;4,5%;0,51;2,2%;1,01;5,2%;2,39;9,2%;3,1%;5,6%;8,91;2,97;10,77;0,72;14,7%;1,14;932.693.000;307.318.000;263.603.000;43.715.000;706.235.000;425.541.000;262.733.000;11.547.000;5.894.000
PATI4;28,00;PN;17/02/2020;PANATLANTICA PN;23,21;Siderurgia e Metalurgia;31,78;Artefatos de Ferro e Aço;1.625;511.560.000;30/09/2019;555.275.000;18.270.000;21,52;1,30;1,20;23,29;10,62;12,2%;0,48;4,5%;0,55;2,2%;1,09;5,2%;2,57;9,2%;4,9%;5,6%;9,54;2,97;11,52;0,72;14,7%;1,14;932.693.000;307.318.000;263.603.000;43.715.000;706.235.000;425.541.000;262.733.000;11.547.000;5.894.000
PCAR3;88,16;ON;18/02/2020;PÃO DE AÇÚCAR ON;81,50;Comércio e Distribuição;100,00;Alimentos;7.102;23.630.000.000;31/12/2019;29.870.000.000;268.035.000;29,91;2,95;2,16;40,82;6,17;21,5%;0,42;6,8%;0,41;1,5%;-7,29;6,6%;-0,96;10,9%;0,9%;7,2%;5,54;0,86;7,80;1,30;-2,2%;0,98;57.991.000.000;14.194.000.000;7.954.000.000;6.240.000.000;19.892.000.000;10.940.000.000;17.321.000.000;1.241.000.000;38.000.000
PCAR4;80,21;PN N1;21/02/2020;PÃO DE AÇÚCAR PN N1;78,00;Comércio e Distribuição;98,31;Alimentos;123.743.000;21.499.100.000;31/12/2019;27.739.100.000;268.035.000;27,21;2,95;1,97;40,82;5,61;21,5%;0,38;6,8%;0,37;1,5%;-6,63;6,6%;-0,87;10,9%;1,1%;7,2%;5,15;0,86;7,24;1,30;-2,2%;0,98;57.991.000.000;14.194.000.000;7.954.000.000;6.240.000.000;19.892.000.000;10.940.000.000;17.321.000.000;1.241.000.000;38.000.000
PDGR3;7,10;ON NM;21/02/2020;PDG REALT ON NM;4,46;Construção e Engenharia;8,80;Construção Civil;1.280.030;57.275.700;30/09/2019;1.600.860.000;8.067.000;-0,08;-92,05;-0,01;-567,28;-7,91;113,0%;0,45;-5,6%;0,03;-575,1%;-0,03;-0,3%;-0,01;-0,4%;0,0%;16,2%;264,91;0,44;-221,17;-0,37;-43,5%;0,06;2.135.210.000;1.675.630.000;132.045.000;1.543.580.000;1.663.000.000;-4.576.270.000;35.806.000;-26.017.000;-123.377.000
PEAB3;55,00;ON;20/02/2020;CIA. DE PARTICIPAÇÕES ALIANÇA DA BAHIA ON;31,20;Previdência e Seguros;55,00;Seguradoras;6.120;706.750.000;30/06/2019;529.244.000;12.850.000;15,69;3,51;1,34;40,90;17,84;31,7%;1,80;10,1%;1,05;11,5%;3,26;5,9%;4,43;8,3%;7,1%;8,6%;13,29;3,40;13,36;-;10,0%;0,58;675.083.000;0;177.506.000;-177.506.000;306.810.000;525.543.000;107.549.000;15.073.000;13.149.000
PEAB4;55,00;PN;20/02/2020;CIA. DE PARTICIPAÇÕES ALIANÇA DA BAHIA PN;36,21;Previdência e Seguros;55,00;Seguradoras;2.949;706.750.000;30/06/2019;529.244.000;12.850.000;15,69;3,51;1,34;40,90;17,84;31,7%;1,80;10,1%;1,05;11,5%;3,26;5,9%;4,43;8,3%;7,8%;8,6%;13,29;3,40;13,36;-;10,0%;0,58;675.083.000;0;177.506.000;-177.506.000;306.810.000;525.543.000;107.549.000;15.073.000;13.149.000
PETR3;30,85;ON;21/02/2020;PETROBRAS ON;26,24;Petróleo, Gás e Biocombustíveis;33,28;Exploração e/ou Refino e Distribuição;628.656.000;402.423.000.000;31/12/2019;720.290.000.000;13.044.500.000;10,03;3,08;1,36;22,66;4,19;40,4%;1,33;31,8%;0,43;13,6%;-99,46;10,4%;-0,78;11,0%;1,6%;13,6%;4,52;0,97;7,50;1,19;0,9%;0,33;926.011.000.000;351.161.000.000;33.294.000.000;317.867.000.000;112.101.000.000;295.541.000.000;72.628.000.000;28.649.000.000;8.153.000.000
PETR4;29,14;PN;21/02/2020;PETROBRAS PN;23,49;Petróleo, Gás e Biocombustíveis;30,81;Exploração e/ou Refino e Distribuição;1.336.190.000;380.117.000.000;31/12/2019;697.984.000.000;13.044.500.000;9,47;3,08;1,29;22,66;3,96;40,4%;1,26;31,8%;0,41;13,6%;-93,95;10,4%;-0,74;11,0%;3,2%;13,6%;4,38;0,97;7,27;1,19;0,9%;0,33;926.011.000.000;351.161.000.000;33.294.000.000;317.867.000.000;112.101.000.000;295.541.000.000;72.628.000.000;28.649.000.000;8.153.000.000
PFRM3;6,52;ON NM;21/02/2020;PROFARMA ON NM;3,61;Comércio e Distribuição;7,69;Medicamentos;5.047.150;807.261.000;30/09/2019;1.271.590.000;123.813.000;-156,36;-0,04;0,82;7,95;5,39;15,3%;0,17;3,2%;0,26;-0,1%;1,76;4,8%;-5,60;7,6%;0,0%;-0,5%;5,54;1,29;8,49;0,72;6,7%;1,49;3.149.600.000;709.181.000;244.854.000;464.327.000;2.021.040.000;984.289.000;1.262.900.000;48.061.000;-37.000
PINE4;4,08;PN;21/02/2020;Pine PN;1,86;Financeiros;4,90;Bancos;2.110.300;604.485.000;31/12/2019;-;148.158.000;-5,11;-0,80;0,72;5,68;-;-;-;-;-;0,0%;-;0,0%;-;-;0,0%;-14,1%;-;-;-;-;6,2%;-;10.234.400.000;5.901.040.000;2.627.610.000;841.055.000;-97.915.000;10.575.000;-23.743.000
PLAS3;7,69;ON;21/02/2020;PLASCAR PARTICIPAÇÕES INDUSTRIAIS S.A ON;4,48;Material de Transporte;11,50;Material Rodoviário;56.810;95.548.200;30/09/2019;265.948.000;12.425.000;-0,39;-19,52;-0,50;-15,46;-1,14;5,3%;0,25;-21,8%;0,19;-63,2%;-0,43;-16,9%;-0,16;-18,6%;0,0%;126,3%;-6,16;0,32;-3,18;-0,95;-5,9%;0,77;496.178.000;183.247.000;12.847.000;170.400.000;104.367.000;-192.059.000;111.895.000;-7.366.000;-24.068.000
PMAM3;23,40;ON;21/02/2020;PARANAPANEMA S.A. ON;18,97;Siderurgia e Metalurgia;43,50;Artefatos de Cobre;4.386.710;1.015.650.000;30/09/2019;2.991.210.000;43.404.000;4,29;5,45;1,22;19,18;13,38;3,9%;0,19;1,4%;0,22;4,4%;2,53;1,6%;-0,66;2,3%;0,0%;28,4%;13,05;1,22;39,42;2,69;-0,5%;1,17;4.604.870.000;2.241.630.000;266.077.000;1.975.550.000;2.232.180.000;832.397.000;1.329.190.000;-66.047.000;140.132.000
PNVL3;849,99;ON;21/02/2020;PANVEL FARMÁCIAS ON;364,60;Comércio e Distribuição;850,01;Medicamentos;588.812;3.838.550.000;30/09/2019;4.242.110.000;4.516.000;48,03;17,70;7,70;110,40;18,03;34,8%;1,52;8,4%;2,84;3,2%;11,23;15,7%;-95,03;20,7%;0,6%;16,0%;14,58;1,73;19,92;0,94;6,5%;1,87;1.352.520.000;470.075.000;66.521.000;403.554.000;813.547.000;498.578.000;689.462.000;33.676.000;21.757.000
PNVL4;640,00;PN;21/02/2020;PANVEL FARMÁCIAS PN;236,57;Comércio e Distribuição;640,00;Medicamentos;186.499;2.890.240.000;30/09/2019;3.293.790.000;4.516.000;36,16;17,70;5,80;110,40;13,57;34,8%;1,14;8,4%;2,14;3,2%;8,45;15,7%;-71,55;20,7%;0,9%;16,0%;11,32;1,73;15,47;0,94;6,5%;1,87;1.352.520.000;470.075.000;66.521.000;403.554.000;813.547.000;498.578.000;689.462.000;33.676.000;21.757.000
POMO3;4,95;ON;21/02/2020;MARCOPOLO ON;2,76;Material de Transporte;5,02;Material Rodoviário;671.970;4.687.120.000;30/09/2019;5.441.410.000;946.893.000;23,15;0,21;2,10;2,36;20,41;15,1%;1,07;5,3%;0,91;4,9%;3,61;4,5%;3.704,95;6,2%;1,2%;9,1%;17,85;1,83;23,70;0,80;13,1%;0,85;5.149.260.000;1.794.180.000;1.039.890.000;754.291.000;2.870.790.000;2.233.070.000;1.081.220.000;42.469.000;22.323.000
POMO4;5,56;PN N2;21/02/2020;MARCOPOLO PN N2;3,08;Material de Transporte;5,60;Material Rodoviário;48.096.200;5.264.720.000;30/09/2019;6.019.020.000;946.893.000;26,00;0,21;2,36;2,36;22,93;15,1%;1,21;5,3%;1,02;4,9%;4,06;4,5%;4.161,52;6,2%;1,1%;9,1%;19,75;1,83;26,22;0,80;13,1%;0,85;5.149.260.000;1.794.180.000;1.039.890.000;754.291.000;2.870.790.000;2.233.070.000;1.081.220.000;42.469.000;22.323.000
POSI3;6,77;ON NM;21/02/2020;POSITIVO INF ON NM;2,20;Computadores e Equipamentos;11,47;Computadores e Equipamentos;18.319.600;959.986.000;30/09/2019;1.226.210.000;141.800.000;97,59;0,07;1,83;3,70;7,60;27,6%;0,50;6,5%;0,51;0,7%;2,97;6,7%;8,73;11,4%;0,0%;1,9%;7,50;1,28;9,71;1,21;0,4%;1,03;1.876.200.000;634.848.000;368.625.000;266.223.000;1.457.640.000;524.611.000;461.130.000;28.886.000;7.542.000
PRIO3;47,96;ON;21/02/2020;PETRORIO ON;14,18;Petróleo, Gás e Biocombustíveis;48,80;Exploração e/ou Refino e Distribuição;142.546.000;6.939.140.000;31/12/2019;8.451.100.000;144.686.000;10,91;4,40;3,69;12,98;14,89;39,7%;4,22;28,3%;1,27;38,7%;-29,43;8,5%;-3,23;10,0%;0,0%;33,9%;9,18;0,86;18,13;1,17;56,8%;0,30;5.483.790.000;2.197.660.000;685.698.000;1.511.960.000;1.454.890.000;1.878.370.000;557.995.000;76.752.000;598.465.000
PSSA3;65,00;ON;21/02/2020;PORTO SEGURO SA ON;48,16;Previdência e Seguros;67,80;Seguradoras;42.360.700;21.014.000.000;31/12/2019;10.816.000.000;323.293.000;15,24;4,27;2,54;25,58;1,46;100,0%;1,16;79,8%;0,64;7,6%;4,39;44,1%;-12,68;64,1%;3,3%;16,7%;0,74;1,27;0,75;-;4,2%;0,55;32.711.300.000;0;10.198.000.000;-10.198.000.000;22.783.800.000;8.269.650.000;4.857.360.000;3.884.840.000;369.039.000
PTBL3;6,00;ON;21/02/2020;PORTOBELLO S/A ON;3,36;Construção e Engenharia;6,70;Materiais de Construção;6.198.060;950.934.000;30/09/2019;1.411.920.000;158.489.000;7,39;0,81;2,62;2,29;23,03;34,5%;0,71;3,1%;0,52;9,6%;3,37;2,3%;-1,62;3,0%;2,6%;35,5%;15,38;1,48;34,19;2,18;2,0%;0,74;1.822.290.000;790.359.000;329.372.000;460.987.000;872.190.000;362.385.000;296.486.000;7.607.000;-2.912.000
PTNT3;9,69;ON;07/02/2020;PETTENATI ON;6,44;Tecidos, Vestuário e Calçados;11,51;Fios e Tecidos;173;465.570.000;31/12/2019;551.674.000;48.046.500;16,71;0,58;2,17;4,47;14,83;14,0%;0,81;5,5%;0,87;7,8%;7,23;5,9%;-18,84;7,1%;1,8%;13,0%;9,78;1,36;17,58;0,61;3,6%;1,07;536.183.000;131.238.000;45.134.800;86.103.300;245.157.000;214.637.000;120.826.000;-483.913;998.197
PTNT4;6,45;PN;21/02/2020;PETTENATI PN;2,68;Tecidos, Vestuário e Calçados;6,54;Fios e Tecidos;498.232;309.900.000;31/12/2019;396.003.000;48.046.500;11,12;0,58;1,44;4,47;9,87;14,0%;0,54;5,5%;0,58;7,8%;4,81;5,9%;-12,54;7,1%;2,7%;13,0%;7,02;1,36;12,62;0,61;3,6%;1,07;536.183.000;131.238.000;45.134.800;86.103.300;245.157.000;214.637.000;120.826.000;-483.913;998.197
QUAL3;39,19;ON NM;21/02/2020;QUALICORP ON NM;12,23;Saúde;44,99;Serviços Médico - Hospitalares, Análises e Diagnósticos;159.188.000;11.130.500.000;30/09/2019;11.166.700.000;284.014.000;26,37;1,49;4,79;8,18;14,02;81,7%;5,68;40,5%;2,59;21,5%;8,48;18,5%;-80,58;29,4%;12,2%;18,2%;9,18;3,52;14,06;0,56;3,5%;0,46;4.294.690.000;1.309.570.000;1.273.340.000;36.233.000;1.832.210.000;2.324.350.000;517.693.000;223.254.000;119.066.000
RADL3;122,67;ON;21/02/2020;RAIADROGASIL ON;58,60;Comércio e Distribuição;128,59;Medicamentos;125.453.000;40.528.400.000;31/12/2019;41.355.700.000;330.386.000;52,48;2,34;10,07;12,18;44,53;29,6%;2,31;5,2%;3,31;4,5%;24,16;7,4%;-16,78;9,8%;0,5%;19,2%;21,51;1,41;45,44;0,28;17,8%;1,43;12.248.300.000;1.126.480.000;299.226.000;827.250.000;5.756.050.000;4.025.010.000;4.785.120.000;271.937.000;85.953.000
